timestamp_unix,timestamp_iso,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,yaw_speed,body_height,mode,gait_type,obstacle_0,obstacle_1,obstacle_2,obstacle_3,battery_soc,battery_current_ma,power_v,power_a
1780536845.1949737,2026-06-03T19:34:05.194975,-1.84191,-3.40615,0.307955,-0.005502,-0.003921,-0.024984,-0.014191,0.046058,1.606552,0.694034,-0.021496,0.010884,0.719539,-0.007457,-0.006392,-0.011718,-0.72664,-0.02873,9.497798,-0.011718,0.320518,0,0,0,0,0,0,,,,
1780536845.2984152,2026-06-03T19:34:05.298418,-1.841803,-3.406155,0.307975,-0.007356,-0.005525,-0.024973,-0.013961,0.046074,1.606524,0.694046,-0.021422,0.010972,0.719528,0,0.006392,0.001065,-0.72664,0.191536,9.455899,0.001065,0.320516,0,0,0,0,0,0,,,,
1780536845.444775,2026-06-03T19:34:05.444777,-1.841886,-3.406187,0.307965,0.003147,-0.000251,-0.023633,-0.014066,0.045889,1.606394,0.694094,-0.021391,0.010872,0.719485,-0.002131,-0.006392,-0.013848,-0.703895,0.026336,9.491813,-0.013848,0.320517,0,0,0,0,0,0,,,,
1780536845.5959363,2026-06-03T19:34:05.595937,-1.841868,-3.406212,0.30797,0.001422,0.012627,-0.02356,-0.014094,0.045941,1.60658,0.694026,-0.021421,0.010878,0.719549,-0.025566,-0.004261,0.001065,-0.627281,0.080206,9.583989,0.001065,0.320512,0,0,0,0,0,0,,,,
1780536845.7446718,2026-06-03T19:34:05.744673,-1.841863,-3.406146,0.307995,0.007004,0.005572,-0.022715,-0.014071,0.046129,1.606371,0.694099,-0.021479,0.010953,0.719476,-0.014914,-0.012783,-0.013848,-0.695516,0.195127,9.543288,-0.013848,0.320508,0,0,0,0,0,0,,,,
1780536845.8946574,2026-06-03T19:34:05.894660,-1.841993,-3.406121,0.307969,0.003548,0.013399,-0.024233,-0.014371,0.046202,1.606274,0.69413,-0.021609,0.010872,0.719443,-0.019175,0.022371,-0.011718,-0.684742,0.015562,9.465476,-0.011718,0.320508,0,0,0,0,0,0,,,,
1780536846.0033488,2026-06-03T19:34:06.003349,-1.841903,-3.406133,0.307968,0.007025,0.004722,-0.02372,-0.014249,0.046125,1.606471,0.694062,-0.02154,0.010887,0.719511,-0.013848,0.006392,-0.007457,-0.658405,0.195127,9.457097,-0.007457,0.320519,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.14451,2026-06-03T19:34:06.144511,-1.841995,-3.406154,0.307956,0.001751,0.005282,-0.024294,-0.014393,0.04607,1.60618,0.694165,-0.021569,0.010819,0.719411,-0.011718,0.006392,-0.012783,-0.688333,0.040701,9.481039,-0.012783,0.320514,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.244555,2026-06-03T19:34:06.244556,-1.841903,-3.406195,0.30796,-0.001011,0.008604,-0.024137,-0.014201,0.045916,1.606382,0.694096,-0.021447,0.010833,0.719481,-0.010653,-0.035154,-0.002131,-0.713472,0.149638,9.482236,-0.002131,0.320522,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.344556,2026-06-03T19:34:06.344557,-1.841959,-3.406197,0.30796,0.0134,-0.004839,-0.02348,-0.014261,0.045853,1.606201,0.694162,-0.021445,0.010791,0.719419,-0.004261,0.021305,-0.006392,-0.717063,0.015562,9.483433,-0.006392,0.320521,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.4945986,2026-06-03T19:34:06.494600,-1.841891,-3.40623,0.307962,0.00166,0.01331,-0.023469,-0.014155,0.045861,1.606436,0.694078,-0.021412,0.01083,0.7195,-0.011718,-0.018109,-0.012783,-0.685939,0.095768,9.524135,-0.012783,0.320514,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.6505075,2026-06-03T19:34:06.650508,-1.841887,-3.406244,0.307957,0.000691,0.008903,-0.023669,-0.014133,0.045848,1.606293,0.69413,-0.021399,0.010834,0.71945,-0.010653,0.012783,-0.007457,-0.657208,0.167594,9.526528,-0.007457,0.320516,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.7946324,2026-06-03T19:34:06.794634,-1.841933,-3.406265,0.307967,-0.003995,0.010723,-0.023758,-0.014171,0.045764,1.606164,0.694177,-0.021381,0.010793,0.719406,-0.021305,0.002131,-0.014914,-0.708684,0.040701,9.476251,-0.014914,0.320512,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.8954048,2026-06-03T19:34:06.895417,-1.841845,-3.406276,0.307961,-0.002984,0.005702,-0.023367,-0.01398,0.04566,1.606082,0.694209,-0.021277,0.010826,0.719377,-0.007457,-0.007457,-0.002131,-0.682347,0.169988,9.496601,-0.002131,0.320514,0,0,0,0,0,0,60,-1745,29.242949,
1780536846.9965858,2026-06-03T19:34:06.996587,-1.84193,-3.406255,0.307958,-0.003868,0.01383,-0.023784,-0.014135,0.045636,1.606085,0.694207,-0.021322,0.010762,0.719379,-0.017044,-0.004261,-0.014914,-0.677559,0.069432,9.528923,-0.014914,0.320519,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.1444793,2026-06-03T19:34:07.144480,-1.841827,-3.406274,0.307972,0.009227,0.001515,-0.023065,-0.013927,0.045597,1.606089,0.694208,-0.021236,0.010824,0.71938,-0.011718,0.005326,-0.002131,-0.725443,0.174777,9.48463,-0.002131,0.320519,0,0,0,0,0,0,60,-1746,29.242949,
